run_id,model,segment,curve,alpha,epsilon_smooth,epsilon_bound,kappa,n_triples,satisfied,violation_ratio
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.0,4399,2623,0.403728120027279
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.1,4399,2749,0.3750852466469652
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.2,4399,2874,0.3466696976585588
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.3,4399,3019,0.3137076608320073
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.4,4399,3147,0.2846101386678791
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.5,4399,3266,0.25755853603091616
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.6,4399,3348,0.23891793589452148
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.7,4399,3431,0.2200500113662196
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.8,4399,3488,0.2070925210275063
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,0.9,4399,3527,0.19822686974312342
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,1.0,4399,3558,0.1911798135939986
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,1.1,4399,3582,0.18572402818822464
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,1.2,4399,3597,0.18231416230961583
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,1.3,4399,3608,0.17981359399863606
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,1.4,4399,3622,0.17663105251193456
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,1.5,4399,3638,0.17299386224141855
20251217_184957,autumn,HMB_1,Mixed-stream,0.5,0.01,0.02,1.6,4399,3647,0.1709479427142533
